Rank,Title,Runtime,Action,Adventure,Comedy,Drama,War,Music,Animation,History,Horror,Mystery,Thriller,Fantasy,Biography,Crime,Sci.Fi,Family,Sport,Romance,Western,Musical,Rating,Director,Lead,Votes
125,The Shape of Water,123,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.3,Guillermo del Toro,Sally Hawkins,"428,506"
126,The Prestige,130,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8.5,Christopher Nolan,Christian Bale,"1,350,875"
127,Hereditary,127,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.3,Ari Aster,Toni Collette,"332,796"
128,Devotion,139,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,J.D. Dillard,Jonathan Majors,"18,346"
129,Shang-Chi and the Legend of the Ten Rings,132,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.4,Destin Daniel Cretton,Simu Liu,"394,083"
130,Crash,112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.7,Paul Haggis,Don Cheadle,"440,589"
131,Magic Mike,110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Steven Soderbergh,Channing Tatum,"142,967"
132,Zack Snyder's Justice League,242,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,Zack Snyder,Henry Cavill,"406,924"
133,Rocky Balboa,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.1,Sylvester Stallone,Sylvester Stallone,"221,971"
134,Tenet,150,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.3,Christopher Nolan,John David Washington,"521,383"
135,The Fallout,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Megan Park,Jenna Ortega,"25,743"
136,Uncharted,116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,Ruben Fleischer,Tom Holland,"221,461"
137,Thirteen,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Catherine Hardwicke,Evan Rachel Wood,"91,452"
138,Harry Potter and the Goblet of Fire,157,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.7,Mike Newell,Daniel Radcliffe,"640,449"
139,Mean Girls,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Mark Waters,Lindsay Lohan,"394,224"
140,Encanto,102,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7.2,Jared Bush,Stephanie Beatriz,"231,402"
141,Free Guy,115,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Shawn Levy,Ryan Reynolds,"381,811"
142,Spring Breakers,94,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.3,Harmony Korine,Vanessa Hudgens,"144,343"
143,Shotgun Wedding,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.4,Jason Moore,Jennifer Lopez,"27,365"
144,Wonder Woman 1984,151,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.4,Patty Jenkins,Gal Gadot,"274,882"
145,Pinocchio,105,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Robert Zemeckis,Joseph Gordon-Levitt,"37,508"
146,Pride & Prejudice,129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Joe Wright,Keira Knightley,"304,196"
147,It,135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,Andy Muschietti,Bill Skarsgård,"561,355"
148,She Said,129,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,Maria Schrader,Lola Petticrew,"23,748"
149,The Lion King,118,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,Jon Favreau,Donald Glover,"250,612"
150,White Noise,136,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.7,Noah Baumbach,Adam Driver,"36,038"
151,Catch Me If You Can,141,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.1,Steven Spielberg,Leonardo DiCaprio,"1,006,011"
152,Doctor Strange in the Multiverse of Madness,126,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.9,Sam Raimi,Benedict Cumberbatch,"430,372"
153,Jojo Rabbit,108,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,Taika Waititi,Roman Griffin Davis,"403,215"
154,Ford v Ferrari,152,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.1,James Mangold,Matt Damon,"408,439"
155,Arrival,116,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.9,Denis Villeneuve,Amy Adams,"709,944"
156,Roald Dahl's Matilda the Musical,117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,Matthew Warchus,Alisha Weir,"21,155"
157,Suicide Squad,123,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.9,David Ayer,Will Smith,"694,438"
158,Sicario,121,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,Denis Villeneuve,Emily Blunt,"440,745"
159,Puss in Boots,90,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,Chris Miller,Antonio Banderas,"176,854"
160,Guardians of the Galaxy,121,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,James Gunn,Chris Pratt,"1,195,588"
161,Turning Red,100,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Domee Shi,Rosalie Chiang,"130,341"
162,Sing 2,110,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,Garth Jennings,Matthew McConaughey,"72,968"
163,A Star Is Born,136,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.6,Bradley Cooper,Lady Gaga,"393,376"
164,Hacksaw Ridge,139,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8.1,Mel Gibson,Andrew Garfield,"540,611"
165,Eternals,156,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.3,Chloé Zhao,Gemma Chan,"352,108"
166,Ant-Man,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,Peyton Reed,Paul Rudd,"684,522"
167,Shutter Island,138,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.2,Martin Scorsese,Leonardo DiCaprio,"1,342,015"
168,Kick-Ass,117,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.6,Matthew Vaughn,Aaron Taylor-Johnson,"571,063"
169,Eternal Sunshine of the Spotless Mind,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8.3,Michel Gondry,Jim Carrey,"1,022,003"
170,Gone Girl,149,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.1,David Fincher,Ben Affleck,"998,760"
171,Wrath of Man,119,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.1,Guy Ritchie,Jason Statham,"185,368"
172,The Greatest Showman,105,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.5,Michael Gracey,Hugh Jackman,"289,083"
173,Bohemian Rhapsody,134,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.9,Bryan Singer,Rami Malek,"549,517"
174,Ghostbusters: Afterlife,124,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.1,Jason Reitman,Carrie Coon,"188,865"
175,Fantastic Beasts: The Secrets of Dumbledore,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6.2,David Yates,Eddie Redmayne,"148,872"
176,Godzilla vs. Kong,113,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6.3,Adam Wingard,Alexander Skarsgård,"215,883"
177,The Grand Budapest Hotel,99,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.1,Wes Anderson,Ralph Fiennes,"826,941"
178,Tusk,102,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3,Kevin Smith,Justin Long,"57,363"
179,Paradise Highway,115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.6,Anna Gutto,Juliette Binoche,"4,247"
180,R.I.P.D.,96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,Robert Schwentke,Ryan Reynolds,"138,218"
181,Death on the Nile,127,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6.3,Kenneth Branagh,Tom Bateman,"157,462"
182,The Mummy Returns,130,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.4,Stephen Sommers,Brendan Fraser,"332,254"
183,Dragged Across Concrete,159,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.9,S. Craig Zahler,Mel Gibson,"48,770"
184,Weird: The Al Yankovic Story,108,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,Eric Appel,Diedrich Bader,"27,021"
185,The Dark Knight Rises,164,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.4,Christopher Nolan,Christian Bale,"1,725,735"
186,Avengers: Infinity War,149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.4,Anthony Russo,Robert Downey Jr.,"1,104,740"
187,Harry Potter and the Deathly Hallows: Part 2,130,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8.1,David Yates,Daniel Radcliffe,"891,025"
188,Ready or Not,95,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.8,Matt Bettinelli-Olpin,Samara Weaving,"159,717"
189,Call Me by Your Name,132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,Luca Guadagnino,Timothée Chalamet,"283,312"
190,The Great Gatsby,143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.2,Baz Luhrmann,Leonardo DiCaprio,"558,650"
191,There Will Be Blood,158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,Paul Thomas Anderson,Daniel Day-Lewis,"596,386"
192,Superbad,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,Greg Mottola,Michael Cera,"593,363"
193,Rogue One: A Star Wars Story,133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.8,Gareth Edwards,Felicity Jones,"650,559"
194,Prospect,100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,Christopher Caldwell,Sophie Thatcher,"29,905"
195,The Count of Monte Cristo,131,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Kevin Reynolds,Jim Caviezel,"141,150"
196,The Dreamers,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.1,Bernardo Bertolucci,Michael Pitt,"124,859"
197,Emily the Criminal,97,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.7,John Patton Ford,Aubrey Plaza,"38,237"
198,Oldboy,120,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.4,Park Chan-wook,Choi Min-sik,"589,332"
199,The Sea Beast,115,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Chris Williams,Karl Urban,"49,693"
200,Decision to Leave,139,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.3,Park Chan-wook,Park Hae-il,"37,427"
201,Ticket to Paradise,104,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2,Ol Parker,George Clooney,"43,694"
202,Hidden Figures,127,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,7.8,Theodore Melfi,Taraji P. Henson,"237,381"
203,Triple Frontier,125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.4,J.C. Chandor,Ben Affleck,"133,635"
204,F9: The Fast Saga,143,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.2,Justin Lin,Vin Diesel,"138,579"
205,Mother!,121,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.6,Darren Aronofsky,Jennifer Lawrence,"232,727"
206,The School for Good and Evil,147,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,Paul Feig,Kit Young,"29,874"
207,Spider-Man,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.4,Sam Raimi,Tobey Maguire,"830,015"
208,West Side Story,156,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7.2,Steven Spielberg,Ansel Elgort,"86,784"
209,Jumanji: Welcome to the Jungle,119,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,Jake Kasdan,Dwayne Johnson,"391,208"
210,The Lord of the Rings: The Two Towers,179,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,Peter Jackson,Elijah Wood,"1,687,779"
211,Three Thousand Years of Longing,108,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6.7,George Miller,Tilda Swinton,"40,341"
212,Spider-Man: Into the Spider-Verse,117,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,Bob Persichetti,Shameik Moore,"548,095"
213,Waiting...,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,Rob McKittrick,Ryan Reynolds,"100,689"
214,"Lyle, Lyle, Crocodile",106,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,Josh Gordon,Javier Bardem,"9,780"
215,Dunkirk,106,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Christopher Nolan,Fionn Whitehead,"674,105"
216,After,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.3,Jenny Gage,Josephine Langford,"58,210"
217,The Equalizer 2,121,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.7,Antoine Fuqua,Denzel Washington,"166,040"
218,Twilight,122,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.3,Catherine Hardwicke,Kristen Stewart,"468,659"
219,The Son,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,Florian Zeller,Vanessa Kirby,"5,363"
220,Spotlight,129,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.1,Tom McCarthy,Mark Ruffalo,"477,769"
221,The Killing of a Sacred Deer,121,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,Yorgos Lanthimos,Barry G. Bernson,"161,253"
222,Harry Potter and the Prisoner of Azkaban,142,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,7.9,Alfonso Cuarón,Daniel Radcliffe,"648,779"
223,The Equalizer,132,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.2,Antoine Fuqua,Denzel Washington,"379,961"
224,Sully,96,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.4,Clint Eastwood,Tom Hanks,"279,635"
225,Edge of Tomorrow,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.9,Doug Liman,Tom Cruise,"692,437"
226,Birdman or (The Unexpected Virtue of Ignorance),119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,Alejandro G. Iñárritu,Michael Keaton,"640,737"
227,Coherence,89,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.2,James Ward Byrkit,Emily Baldoni,"133,099"
228,The Invitation,105,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.3,Jessica M. Thompson,Nathalie Emmanuel,"23,054"
229,Cars,117,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,John Lasseter,Owen Wilson,"432,775"
230,The Avengers,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,Joss Whedon,Robert Downey Jr.,"1,405,543"
231,Bones and All,131,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6.9,Luca Guadagnino,Timothée Chalamet,"37,033"
232,The King's Man,131,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.3,Matthew Vaughn,Ralph Fiennes,"153,826"
233,Memoirs of a Geisha,145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.3,Rob Marshall,Ziyi Zhang,"153,463"
234,Idiocracy,84,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.5,Mike Judge,Luke Wilson,"168,202"
235,We're the Millers,110,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,Rawson Marshall Thurber,Jason Sudeikis,"458,963"
236,A Serbian Film,104,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,Srdjan Spasojevic,Srdjan 'Zika' Todorovic,"66,582"
237,Last Night in Soho,116,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,Edgar Wright,Thomasin McKenzie,"146,067"
238,Pleasure,109,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,Ninja Thyberg,Sofia Kappel,"18,682"
239,Spirited Away,125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.6,Hayao Miyazaki,Daveigh Chase,"778,289"
240,Prey,100,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,Dan Trachtenberg,Amber Midthunder,"202,103"
241,The Hateful Eight,168,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7.8,Quentin Tarantino,Samuel L. Jackson,"615,725"
242,"Alice, Darling",89,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.4,Mary Nighy,Anna Kendrick,"4,377"
243,Her,126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,Spike Jonze,Joaquin Phoenix,"627,694"
244,Violent Night,112,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.7,Tommy Wirkola,David Harbour,"66,311"
245,Drive,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,Nicolas Winding Refn,Ryan Gosling,"655,803"
246,The Irishman,209,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7.8,Martin Scorsese,Robert De Niro,"398,208"
247,Divergent,139,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.6,Neil Burger,Shailene Woodley,"468,023"
248,Kick-Ass 2,103,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,Jeff Wadlow,Aaron Taylor-Johnson,"277,601"
249,Zootopia,108,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Byron Howard,Ginnifer Goodwin,"509,717"
250,Emancipation,132,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1,Antoine Fuqua,Will Smith,"21,731"
